 Iteration #:           4
   Depth    K_x     K_t     K_y
   43.17    4.37    0.00    4.37
   46.01    4.46    0.00    4.46
   48.85    4.54    0.00    4.54
   51.69    4.60    0.00    4.60
   54.53    4.65    0.00    4.65
   57.37    4.67    0.00    4.67
   60.21    4.68    0.00    4.68
   63.05    4.67    0.00    4.67
   65.89    4.64    0.00    4.64
   68.73    4.58    0.00    4.58
   73.46    4.47    0.00    4.47
   79.97    4.32    0.00    4.32
   14.47    4.23    0.00    4.23
   15.60    4.19    0.00    4.19
   16.54    4.15    0.00    4.15
   18.44    4.09    0.00    4.09
   20.33    4.06    0.00    4.06
   22.23    4.03    0.00    4.03
   24.12    4.02    0.00    4.02
   26.01    4.02    0.00    4.02
   27.91    4.04    0.00    4.04
   29.80    4.06    0.00    4.06
   31.69    4.09    0.00    4.09
   33.59    4.14    0.00    4.14
   35.48    4.19    0.00    4.19
   37.37    4.23    0.00    4.23
   40.21    4.27    0.00    4.27
   43.05    4.37    0.00    4.37
   45.90    4.47    0.00    4.47
   48.73    4.54    0.00    4.54
   51.58    4.60    0.00    4.60
   54.42    4.65    0.00    4.65
   57.26    4.67    0.00    4.67
   60.10    4.68    0.00    4.68
   62.94    4.66    0.00    4.66
   65.78    4.63    0.00    4.63
   68.62    4.57    0.00    4.57
   73.35    4.42    0.00    4.42
   14.74    4.24    0.00    4.24
   15.69    4.20    0.00    4.20
   16.63    4.15    0.00    4.15
   18.53    4.10    0.00    4.10
   20.42    4.06    0.00    4.06
   22.31    4.03    0.00    4.03
   24.21    4.02    0.00    4.02
   26.10    4.02    0.00    4.02
   27.99    4.03    0.00    4.03
   29.89    4.06    0.00    4.06
   31.78    4.09    0.00    4.09
   33.67    4.14    0.00    4.14
   35.56    4.19    0.00    4.19
   37.46    4.23    0.00    4.23
   40.30    4.27    0.00    4.27
   43.14    4.38    0.00    4.38
   45.98    4.47    0.00    4.47
   48.82    4.55    0.00    4.55
   51.66    4.61    0.00    4.61
   54.50    4.65    0.00    4.65
   57.34    4.67    0.00    4.67
   60.18    4.68    0.00    4.68
   63.02    4.66    0.00    4.66
   65.86    4.62    0.00    4.62
   68.70    4.55    0.00    4.55
   73.43    4.40    0.00    4.40
   13.85    4.27    0.00    4.27
   14.79    4.24    0.00    4.24
   15.74    4.21    0.00    4.21
   16.68    4.16    0.00    4.16
   18.58    4.11    0.00    4.11
   20.47    4.07    0.00    4.07
   22.36    4.03    0.00    4.03
   24.26    4.02    0.00    4.02
   26.15    4.02    0.00    4.02
   28.04    4.04    0.00    4.04
   29.93    4.06    0.00    4.06
   31.83    4.09    0.00    4.09
   33.72    4.14    0.00    4.14
   35.61    4.19    0.00    4.19
   37.51    4.23    0.00    4.23
   40.34    4.28    0.00    4.28
   43.19    4.38    0.00    4.38
   46.02    4.47    0.00    4.47
   48.86    4.55    0.00    4.55
   51.70    4.61    0.00    4.61
   54.54    4.65    0.00    4.65
   57.38    4.67    0.00    4.67
   60.22    4.67    0.00    4.67
   63.06    4.65    0.00    4.65
   65.90    4.61    0.00    4.61
   68.74    4.53    0.00    4.53
   73.47    4.38    0.00    4.38
   14.03    4.28    0.00    4.28
   14.98    4.25    0.00    4.25
   15.93    4.22    0.00    4.22
   16.87    4.17    0.00    4.17
   18.76    4.11    0.00    4.11
   20.66    4.07    0.00    4.07
   22.55    4.03    0.00    4.03
   24.44    4.02    0.00    4.02
   26.33    4.02    0.00    4.02
   28.22    4.04    0.00    4.04
   30.12    4.06    0.00    4.06
   32.01    4.09    0.00    4.09
   33.90    4.14    0.00    4.14
   35.79    4.19    0.00    4.19
   37.68    4.24    0.00    4.24
   40.52    4.29    0.00    4.29
   43.36    4.39    0.00    4.39
   46.20    4.47    0.00    4.47
   49.04    4.55    0.00    4.55
   51.87    4.61    0.00    4.61
   54.71    4.65    0.00    4.65
   57.55    4.67    0.00    4.67
   60.39    4.67    0.00    4.67
   63.23    4.64    0.00    4.64
   66.06    4.59    0.00    4.59
   68.90    4.50    0.00    4.50
   73.63    4.36    0.00    4.36
   13.25    4.33    0.00    4.33
   14.09    4.29    0.00    4.29
   15.03    4.26    0.00    4.26
   15.98    4.22    0.00    4.22
   16.93    4.17    0.00    4.17
   18.82    4.11    0.00    4.11
   20.71    4.07    0.00    4.07
   22.60    4.03    0.00    4.03
   24.49    4.02    0.00    4.02
   26.39    4.02    0.00    4.02
   28.28    4.04    0.00    4.04
   30.17    4.06    0.00    4.06
   32.06    4.10    0.00    4.10
   33.95    4.15    0.00    4.15
   35.84    4.20    0.00    4.20
   37.73    4.24    0.00    4.24
   40.57    4.30    0.00    4.30
   43.41    4.40    0.00    4.40
   46.25    4.48    0.00    4.48
   49.09    4.56    0.00    4.56
   51.92    4.62    0.00    4.62
   54.76    4.66    0.00    4.66
   57.60    4.67    0.00    4.67
   60.44    4.66    0.00    4.66
   63.27    4.63    0.00    4.63
   66.11    4.57    0.00    4.57
   68.95    4.48    0.00    4.48
   73.68    4.33    0.00    4.33
   12.94    4.35    0.00    4.35
   14.10    4.30    0.00    4.30
   15.05    4.26    0.00    4.26
   15.99    4.22    0.00    4.22
   16.94    4.18    0.00    4.18
   18.83    4.11    0.00    4.11
   20.72    4.07    0.00    4.07
   22.61    4.04    0.00    4.04
   24.50    4.02    0.00    4.02
   26.40    4.02    0.00    4.02
   28.29    4.04    0.00    4.04
   30.18    4.06    0.00    4.06
   32.07    4.10    0.00    4.10
   33.96    4.15    0.00    4.15
   35.85    4.20    0.00    4.20
   37.75    4.25    0.00    4.25
   40.58    4.31    0.00    4.31
   43.42    4.41    0.00    4.41
   46.26    4.49    0.00    4.49
   49.10    4.56    0.00    4.56
   51.93    4.62    0.00    4.62
   54.77    4.66    0.00    4.66
   57.61    4.67    0.00    4.67
   60.45    4.65    0.00    4.65
   63.28    4.62    0.00    4.62
   66.12    4.56    0.00    4.56
   68.96    4.46    0.00    4.46
   75.76    4.30    0.00    4.30
   13.18    4.36    0.00    4.36
   14.13    4.31    0.00    4.31
   15.07    4.27    0.00    4.27
   16.02    4.23    0.00    4.23
   16.96    4.18    0.00    4.18
   18.86    4.12    0.00    4.12
   20.75    4.07    0.00    4.07
   22.64    4.04    0.00    4.04
   24.53    4.03    0.00    4.03
   26.42    4.02    0.00    4.02
   28.32    4.04    0.00    4.04
   30.21    4.06    0.00    4.06
   32.10    4.10    0.00    4.10
   33.99    4.15    0.00    4.15
   35.88    4.20    0.00    4.20
   37.77    4.25    0.00    4.25
   40.61    4.31    0.00    4.31
   43.45    4.41    0.00    4.41
   46.28    4.49    0.00    4.49
   49.12    4.57    0.00    4.57
   51.96    4.62    0.00    4.62
   54.80    4.66    0.00    4.66
   57.63    4.67    0.00    4.67
   60.47    4.65    0.00    4.65
   63.31    4.61    0.00    4.61
   66.14    4.55    0.00    4.55
   68.98    4.43    0.00    4.43
   12.33    4.41    0.00    4.41
   13.21    4.37    0.00    4.37
   14.15    4.32    0.00    4.32
   15.10    4.27    0.00    4.27
   16.05    4.23    0.00    4.23
   16.99    4.19    0.00    4.19
   18.88    4.13    0.00    4.13
   20.77    4.07    0.00    4.07
   22.67    4.04    0.00    4.04
   24.56    4.03    0.00    4.03
   26.45    4.02    0.00    4.02
   28.34    4.04    0.00    4.04
   30.23    4.06    0.00    4.06
   32.12    4.10    0.00    4.10
   34.02    4.15    0.00    4.15
   35.91    4.21    0.00    4.21
   37.80    4.26    0.00    4.26
   40.63    4.31    0.00    4.31
   43.47    4.41    0.00    4.41
   46.31    4.50    0.00    4.50
   49.15    4.57    0.00    4.57
   51.98    4.62    0.00    4.62
   54.82    4.66    0.00    4.66
   57.66    4.67    0.00    4.67
   60.49    4.65    0.00    4.65
   63.33    4.61    0.00    4.61
   66.17    4.54    0.00    4.54
   69.01    4.42    0.00    4.42
   12.03    4.44    0.00    4.44
   13.25    4.38    0.00    4.38
   14.19    4.33    0.00    4.33
   15.14    4.28    0.00    4.28
   16.09    4.24    0.00    4.24
   17.03    4.19    0.00    4.19
   18.92    4.13    0.00    4.13
   20.81    4.07    0.00    4.07
   22.70    4.04    0.00    4.04
   24.60    4.03    0.00    4.03
   26.49    4.02    0.00    4.02
   28.38    4.04    0.00    4.04
   30.27    4.06    0.00    4.06
   32.16    4.10    0.00    4.10
   34.05    4.15    0.00    4.15
   35.94    4.21    0.00    4.21
   37.83    4.26    0.00    4.26
   40.67    4.32    0.00    4.32
   43.51    4.42    0.00    4.42
   46.34    4.50    0.00    4.50
   49.18    4.58    0.00    4.58
   52.02    4.63    0.00    4.63
   54.85    4.66    0.00    4.66
   57.69    4.67    0.00    4.67
   60.53    4.64    0.00    4.64
   63.37    4.60    0.00    4.60
   66.20    4.54    0.00    4.54
   69.04    4.41    0.00    4.41
   12.33    4.44    0.00    4.44
   13.27    4.38    0.00    4.38
   14.22    4.33    0.00    4.33
   15.16    4.29    0.00    4.29
   16.11    4.25    0.00    4.25
   17.05    4.20    0.00    4.20
   18.95    4.13    0.00    4.13
   20.84    4.08    0.00    4.08
   22.73    4.04    0.00    4.04
   24.62    4.03    0.00    4.03
   26.51    4.02    0.00    4.02
   28.40    4.04    0.00    4.04
   30.29    4.06    0.00    4.06
   32.18    4.10    0.00    4.10
   34.07    4.15    0.00    4.15
   35.97    4.21    0.00    4.21
   37.86    4.26    0.00    4.26
   40.69    4.32    0.00    4.32
   43.53    4.42    0.00    4.42
   46.37    4.51    0.00    4.51
   49.20    4.58    0.00    4.58
   52.04    4.63    0.00    4.63
   54.88    4.66    0.00    4.66
   57.71    4.66    0.00    4.66
   60.55    4.64    0.00    4.64
   63.39    4.60    0.00    4.60
   66.22    4.53    0.00    4.53
   69.06    4.40    0.00    4.40
   11.07    4.51    0.00    4.51
   12.35    4.45    0.00    4.45
   13.30    4.39    0.00    4.39
   14.24    4.34    0.00    4.34
   15.19    4.29    0.00    4.29
   16.14    4.25    0.00    4.25
   17.08    4.20    0.00    4.20
   18.97    4.14    0.00    4.14
   20.86    4.08    0.00    4.08
   22.75    4.04    0.00    4.04
   24.64    4.03    0.00    4.03
   26.54    4.02    0.00    4.02
   28.43    4.04    0.00    4.04
   30.32    4.07    0.00    4.07
   32.21    4.10    0.00    4.10
   34.10    4.16    0.00    4.16
   35.99    4.22    0.00    4.22
   37.88    4.27    0.00    4.27
   40.72    4.33    0.00    4.33
   43.55    4.43    0.00    4.43
   46.39    4.51    0.00    4.51
   49.23    4.59    0.00    4.59
   52.06    4.64    0.00    4.64
   54.90    4.66    0.00    4.66
   57.74    4.66    0.00    4.66
   60.57    4.64    0.00    4.64
   63.41    4.59    0.00    4.59
   66.25    4.52    0.00    4.52
   69.08    4.39    0.00    4.39
   11.03    4.53    0.00    4.53
   12.37    4.46    0.00    4.46
   13.32    4.41    0.00    4.41
   14.26    4.35    0.00    4.35
   15.21    4.29    0.00    4.29
   16.16    4.25    0.00    4.25
   17.10    4.20    0.00    4.20
   18.99    4.14    0.00    4.14
   20.88    4.08    0.00    4.08
   22.77    4.04    0.00    4.04
   24.66    4.02    0.00    4.02
   26.55    4.02    0.00    4.02
   28.45    4.04    0.00    4.04
   30.34    4.07    0.00    4.07
   32.23    4.11    0.00    4.11
   34.12    4.16    0.00    4.16
   36.01    4.22    0.00    4.22
   37.90    4.27    0.00    4.27
   40.74    4.33    0.00    4.33
   43.57    4.43    0.00    4.43
   46.41    4.52    0.00    4.52
   49.24    4.59    0.00    4.59
   52.08    4.64    0.00    4.64
   54.92    4.66    0.00    4.66
   57.75    4.66    0.00    4.66
   60.59    4.63    0.00    4.63
   63.43    4.58    0.00    4.58
   66.26    4.51    0.00    4.51
   69.10    4.39    0.00    4.39
   11.44    4.53    0.00    4.53
   12.38    4.46    0.00    4.46
   13.33    4.40    0.00    4.40
   14.27    4.34    0.00    4.34
   15.22    4.29    0.00    4.29
   16.16    4.25    0.00    4.25
   17.11    4.20    0.00    4.20
   19.00    4.13    0.00    4.13
   20.89    4.07    0.00    4.07
   22.78    4.04    0.00    4.04
   24.67    4.02    0.00    4.02
   26.56    4.02    0.00    4.02
   28.45    4.04    0.00    4.04
   30.34    4.07    0.00    4.07
   32.24    4.11    0.00    4.11
   34.13    4.16    0.00    4.16
   36.02    4.22    0.00    4.22
   37.91    4.28    0.00    4.28
   40.74    4.33    0.00    4.33
   43.58    4.43    0.00    4.43
   46.42    4.52    0.00    4.52
   49.25    4.59    0.00    4.59
   52.09    4.64    0.00    4.64
   54.93    4.66    0.00    4.66
   57.76    4.66    0.00    4.66
   60.60    4.62    0.00    4.62
   63.43    4.57    0.00    4.57
   66.27    4.50    0.00    4.50
   69.11    4.38    0.00    4.38
   10.89    4.56    0.00    4.56
   11.44    4.52    0.00    4.52
   12.38    4.45    0.00    4.45
   13.33    4.39    0.00    4.39
   14.28    4.33    0.00    4.33
   15.22    4.29    0.00    4.29
   16.17    4.24    0.00    4.24
   17.11    4.19    0.00    4.19
   19.00    4.13    0.00    4.13
   20.89    4.07    0.00    4.07
   22.78    4.03    0.00    4.03
   24.68    4.02    0.00    4.02
   26.57    4.02    0.00    4.02
   28.46    4.04    0.00    4.04
   30.35    4.07    0.00    4.07
   32.24    4.11    0.00    4.11
   34.13    4.16    0.00    4.16
   36.02    4.22    0.00    4.22
   37.91    4.28    0.00    4.28
   40.75    4.34    0.00    4.34
   43.58    4.44    0.00    4.44
   46.42    4.53    0.00    4.53
   49.26    4.60    0.00    4.60
   52.09    4.64    0.00    4.64
   54.93    4.66    0.00    4.66
   57.76    4.65    0.00    4.65
   60.60    4.62    0.00    4.62
   63.44    4.56    0.00    4.56
   66.27    4.49    0.00    4.49
   69.11    4.37    0.00    4.37
   10.82    4.54    0.00    4.54
   11.51    4.49    0.00    4.49
   12.46    4.44    0.00    4.44
   13.40    4.38    0.00    4.38
