 Iteration #:           4
   Depth    K_x     K_t     K_y
   52.08    4.47    0.00    4.47
   54.94    4.52    0.00    4.52
   57.80    4.56    0.00    4.56
   60.66    4.60    0.00    4.60
   63.52    4.64    0.00    4.64
   66.38    4.69    0.00    4.69
   71.14    4.74    0.00    4.74
   75.91    4.77    0.00    4.77
   80.67    4.78    0.00    4.78
   85.44    4.79    0.00    4.79
   90.20    4.77    0.00    4.77
   94.97    4.75    0.00    4.75
   99.74    4.72    0.00    4.72
  104.50    4.67    0.00    4.67
  109.27    4.61    0.00    4.61
  114.04    4.54    0.00    4.54
   32.91    4.17    0.00    4.17
   34.92    4.21    0.00    4.21
   37.78    4.23    0.00    4.23
   40.64    4.22    0.00    4.22
   43.50    4.28    0.00    4.28
   46.36    4.34    0.00    4.34
   49.22    4.40    0.00    4.40
   52.08    4.46    0.00    4.46
   54.94    4.51    0.00    4.51
   57.80    4.56    0.00    4.56
   60.66    4.60    0.00    4.60
   63.52    4.64    0.00    4.64
   66.38    4.69    0.00    4.69
   71.15    4.74    0.00    4.74
   75.91    4.77    0.00    4.77
   80.68    4.78    0.00    4.78
   85.44    4.79    0.00    4.79
   90.21    4.77    0.00    4.77
   94.98    4.75    0.00    4.75
   99.74    4.72    0.00    4.72
  104.51    4.67    0.00    4.67
  109.27    4.61    0.00    4.61
  114.04    4.54    0.00    4.54
   32.73    4.16    0.00    4.16
   34.95    4.20    0.00    4.20
   37.81    4.23    0.00    4.23
   40.67    4.22    0.00    4.22
   43.53    4.28    0.00    4.28
   46.39    4.34    0.00    4.34
   49.25    4.40    0.00    4.40
   52.11    4.46    0.00    4.46
   54.97    4.51    0.00    4.51
   57.83    4.56    0.00    4.56
   60.69    4.60    0.00    4.60
   63.55    4.64    0.00    4.64
   66.40    4.69    0.00    4.69
   71.17    4.73    0.00    4.73
   75.94    4.77    0.00    4.77
   80.70    4.78    0.00    4.78
   85.47    4.79    0.00    4.79
   90.23    4.77    0.00    4.77
   95.00    4.75    0.00    4.75
   99.76    4.72    0.00    4.72
  104.53    4.67    0.00    4.67
  109.30    4.61    0.00    4.61
  114.06    4.54    0.00    4.54
   32.54    4.16    0.00    4.16
   34.90    4.20    0.00    4.20
   37.76    4.22    0.00    4.22
   40.62    4.21    0.00    4.21
   43.48    4.28    0.00    4.28
   46.34    4.33    0.00    4.33
   49.20    4.40    0.00    4.40
   52.06    4.46    0.00    4.46
   54.92    4.51    0.00    4.51
   57.78    4.56    0.00    4.56
   60.64    4.60    0.00    4.60
   63.50    4.64    0.00    4.64
   66.36    4.68    0.00    4.68
   71.12    4.73    0.00    4.73
   75.89    4.77    0.00    4.77
   80.66    4.78    0.00    4.78
   85.42    4.79    0.00    4.79
   90.19    4.77    0.00    4.77
   94.96    4.75    0.00    4.75
   99.72    4.72    0.00    4.72
  104.49    4.67    0.00    4.67
  109.25    4.61    0.00    4.61
  114.02    4.54    0.00    4.54
   32.35    4.15    0.00    4.15
   34.85    4.20    0.00    4.20
   37.71    4.22    0.00    4.22
   40.57    4.21    0.00    4.21
   43.43    4.27    0.00    4.27
   46.29    4.33    0.00    4.33
   49.15    4.39    0.00    4.39
   52.01    4.45    0.00    4.45
   54.87    4.51    0.00    4.51
   57.73    4.55    0.00    4.55
   60.59    4.60    0.00    4.60
   63.45    4.64    0.00    4.64
   66.31    4.68    0.00    4.68
   71.08    4.73    0.00    4.73
   75.84    4.77    0.00    4.77
   80.61    4.78    0.00    4.78
   85.38    4.79    0.00    4.79
   90.15    4.77    0.00    4.77
   94.91    4.75    0.00    4.75
   99.68    4.72    0.00    4.72
  104.45    4.67    0.00    4.67
  109.21    4.61    0.00    4.61
  113.98    4.54    0.00    4.54
   32.09    4.15    0.00    4.15
   34.80    4.20    0.00    4.20
   37.66    4.22    0.00    4.22
   40.52    4.21    0.00    4.21
   43.38    4.27    0.00    4.27
   46.24    4.33    0.00    4.33
   49.10    4.39    0.00    4.39
   51.96    4.45    0.00    4.45
   54.82    4.51    0.00    4.51
   57.69    4.55    0.00    4.55
   60.55    4.60    0.00    4.60
   63.41    4.64    0.00    4.64
   66.27    4.68    0.00    4.68
   71.03    4.73    0.00    4.73
   75.80    4.77    0.00    4.77
   80.57    4.78    0.00    4.78
   85.34    4.79    0.00    4.79
   90.11    4.77    0.00    4.77
   94.87    4.75    0.00    4.75
   99.64    4.72    0.00    4.72
  104.41    4.67    0.00    4.67
  109.17    4.61    0.00    4.61
  113.94    4.54    0.00    4.54
   32.94    4.15    0.00    4.15
   34.85    4.20    0.00    4.20
   37.71    4.21    0.00    4.21
   40.57    4.20    0.00    4.20
   43.43    4.27    0.00    4.27
   46.29    4.32    0.00    4.32
   49.15    4.39    0.00    4.39
   52.01    4.45    0.00    4.45
   54.87    4.50    0.00    4.50
   57.73    4.55    0.00    4.55
   60.59    4.60    0.00    4.60
   63.45    4.64    0.00    4.64
   66.31    4.68    0.00    4.68
   71.08    4.73    0.00    4.73
   75.84    4.77    0.00    4.77
   80.61    4.78    0.00    4.78
   85.38    4.79    0.00    4.79
   90.14    4.77    0.00    4.77
   94.91    4.75    0.00    4.75
   99.68    4.72    0.00    4.72
  104.44    4.67    0.00    4.67
  109.21    4.61    0.00    4.61
  113.98    4.54    0.00    4.54
   31.58    4.13    0.00    4.13
   33.00    4.15    0.00    4.15
   34.91    4.19    0.00    4.19
   37.77    4.21    0.00    4.21
   40.62    4.20    0.00    4.20
   43.48    4.27    0.00    4.27
   46.34    4.32    0.00    4.32
   49.20    4.39    0.00    4.39
   52.06    4.45    0.00    4.45
   54.92    4.50    0.00    4.50
   57.78    4.55    0.00    4.55
   60.64    4.60    0.00    4.60
   63.50    4.64    0.00    4.64
   66.36    4.68    0.00    4.68
   71.13    4.73    0.00    4.73
   75.89    4.77    0.00    4.77
   80.66    4.78    0.00    4.78
   85.43    4.79    0.00    4.79
   90.19    4.77    0.00    4.77
   94.96    4.75    0.00    4.75
   99.73    4.72    0.00    4.72
  104.49    4.67    0.00    4.67
  109.26    4.61    0.00    4.61
  114.03    4.54    0.00    4.54
   31.45    4.13    0.00    4.13
   32.99    4.15    0.00    4.15
   34.89    4.19    0.00    4.19
   37.75    4.21    0.00    4.21
   40.61    4.20    0.00    4.20
   43.47    4.27    0.00    4.27
   46.33    4.32    0.00    4.32
   49.19    4.39    0.00    4.39
   52.05    4.45    0.00    4.45
   54.91    4.50    0.00    4.50
   57.77    4.55    0.00    4.55
   60.63    4.60    0.00    4.60
   63.49    4.64    0.00    4.64
   66.35    4.68    0.00    4.68
   71.12    4.73    0.00    4.73
   75.88    4.77    0.00    4.77
   80.65    4.78    0.00    4.78
   85.42    4.79    0.00    4.79
   90.18    4.77    0.00    4.77
   94.95    4.75    0.00    4.75
   99.72    4.72    0.00    4.72
  104.48    4.67    0.00    4.67
  109.25    4.61    0.00    4.61
  114.02    4.54    0.00    4.54
   31.34    4.13    0.00    4.13
   33.02    4.15    0.00    4.15
   34.93    4.19    0.00    4.19
   37.79    4.21    0.00    4.21
   40.65    4.20    0.00    4.20
   43.51    4.27    0.00    4.27
   46.37    4.32    0.00    4.32
   49.23    4.39    0.00    4.39
   52.09    4.45    0.00    4.45
   54.95    4.50    0.00    4.50
   57.81    4.55    0.00    4.55
   60.67    4.60    0.00    4.60
   63.53    4.64    0.00    4.64
   66.39    4.68    0.00    4.68
   71.15    4.73    0.00    4.73
   75.92    4.77    0.00    4.77
   80.68    4.78    0.00    4.78
   85.45    4.79    0.00    4.79
   90.22    4.77    0.00    4.77
   94.98    4.75    0.00    4.75
   99.75    4.72    0.00    4.72
  104.51    4.67    0.00    4.67
  109.28    4.60    0.00    4.60
  114.05    4.54    0.00    4.54
   31.23    4.13    0.00    4.13
   33.12    4.15    0.00    4.15
   35.03    4.19    0.00    4.19
   37.89    4.21    0.00    4.21
   40.74    4.20    0.00    4.20
   43.60    4.27    0.00    4.27
   46.46    4.32    0.00    4.32
   49.32    4.39    0.00    4.39
   52.18    4.45    0.00    4.45
   55.04    4.50    0.00    4.50
   57.90    4.55    0.00    4.55
   60.76    4.60    0.00    4.60
   63.62    4.64    0.00    4.64
   66.47    4.69    0.00    4.69
   71.24    4.73    0.00    4.73
   76.00    4.77    0.00    4.77
   80.77    4.79    0.00    4.79
   85.53    4.79    0.00    4.79
   90.30    4.77    0.00    4.77
   95.06    4.75    0.00    4.75
   99.83    4.72    0.00    4.72
  104.59    4.67    0.00    4.67
  109.36    4.60    0.00    4.60
  114.12    4.54    0.00    4.54
   31.14    4.13    0.00    4.13
   33.01    4.15    0.00    4.15
   34.91    4.20    0.00    4.20
   37.77    4.21    0.00    4.21
   40.63    4.20    0.00    4.20
   43.49    4.27    0.00    4.27
   46.35    4.32    0.00    4.32
   49.21    4.39    0.00    4.39
   52.07    4.45    0.00    4.45
   54.93    4.50    0.00    4.50
   57.79    4.55    0.00    4.55
   60.65    4.60    0.00    4.60
   63.51    4.64    0.00    4.64
   66.37    4.68    0.00    4.68
   71.14    4.73    0.00    4.73
   75.90    4.77    0.00    4.77
   80.67    4.79    0.00    4.79
   85.43    4.79    0.00    4.79
   90.20    4.77    0.00    4.77
   94.97    4.75    0.00    4.75
   99.73    4.72    0.00    4.72
  104.50    4.67    0.00    4.67
  109.26    4.60    0.00    4.60
  114.03    4.54    0.00    4.54
   31.22    4.13    0.00    4.13
   32.88    4.15    0.00    4.15
   34.78    4.19    0.00    4.19
   37.65    4.21    0.00    4.21
   40.51    4.20    0.00    4.20
   43.37    4.27    0.00    4.27
   46.23    4.32    0.00    4.32
   49.09    4.39    0.00    4.39
   51.95    4.44    0.00    4.44
   54.81    4.50    0.00    4.50
   57.67    4.55    0.00    4.55
   60.53    4.60    0.00    4.60
   63.39    4.64    0.00    4.64
   66.25    4.68    0.00    4.68
   71.02    4.73    0.00    4.73
   75.79    4.77    0.00    4.77
   80.56    4.78    0.00    4.78
   85.32    4.79    0.00    4.79
   90.09    4.77    0.00    4.77
   94.86    4.75    0.00    4.75
   99.63    4.72    0.00    4.72
  104.39    4.67    0.00    4.67
  109.16    4.60    0.00    4.60
  113.93    4.54    0.00    4.54
   31.30    4.13    0.00    4.13
   32.81    4.15    0.00    4.15
   34.72    4.19    0.00    4.19
   37.58    4.21    0.00    4.21
   40.45    4.20    0.00    4.20
   43.31    4.27    0.00    4.27
   46.17    4.32    0.00    4.32
   49.03    4.39    0.00    4.39
   51.89    4.44    0.00    4.44
   54.75    4.50    0.00    4.50
   57.61    4.55    0.00    4.55
   60.47    4.60    0.00    4.60
   63.34    4.64    0.00    4.64
   66.20    4.68    0.00    4.68
   70.96    4.73    0.00    4.73
   75.73    4.77    0.00    4.77
   80.50    4.78    0.00    4.78
   85.27    4.79    0.00    4.79
   90.04    4.77    0.00    4.77
   94.81    4.75    0.00    4.75
   99.58    4.72    0.00    4.72
  104.34    4.67    0.00    4.67
  109.11    4.60    0.00    4.60
  113.88    4.53    0.00    4.53
   31.37    4.13    0.00    4.13
   32.78    4.15    0.00    4.15
   34.69    4.19    0.00    4.19
   37.55    4.21    0.00    4.21
   40.41    4.20    0.00    4.20
   43.27    4.27    0.00    4.27
   46.13    4.32    0.00    4.32
   48.99    4.39    0.00    4.39
   51.85    4.44    0.00    4.44
   54.72    4.50    0.00    4.50
   57.58    4.55    0.00    4.55
   60.44    4.60    0.00    4.60
   63.30    4.64    0.00    4.64
   66.16    4.68    0.00    4.68
   70.93    4.73    0.00    4.73
   75.70    4.77    0.00    4.77
   80.47    4.78    0.00    4.78
   85.24    4.79    0.00    4.79
   90.01    4.77    0.00    4.77
   94.78    4.75    0.00    4.75
   99.55    4.71    0.00    4.71
  104.31    4.66    0.00    4.66
  109.08    4.60    0.00    4.60
  113.85    4.53    0.00    4.53
   31.44    4.13    0.00    4.13
   32.74    4.15    0.00    4.15
   34.64    4.19    0.00    4.19
   37.51    4.21    0.00    4.21
   40.37    4.20    0.00    4.20
   43.23    4.27    0.00    4.27
   46.09    4.32    0.00    4.32
   48.95    4.39    0.00    4.39
   51.81    4.44    0.00    4.44
   54.68    4.50    0.00    4.50
   57.54    4.55    0.00    4.55
   60.40    4.60    0.00    4.60
   63.26    4.64    0.00    4.64
   66.12    4.68    0.00    4.68
   70.89    4.73    0.00    4.73
   75.66    4.77    0.00    4.77
   80.43    4.78    0.00    4.78
   85.20    4.79    0.00    4.79
   89.97    4.77    0.00    4.77
   94.74    4.74    0.00    4.74
   99.51    4.70    0.00    4.70
  104.28    4.65    0.00    4.65
  109.05    4.60    0.00    4.60
  113.82    4.53    0.00    4.53
   31.51    4.13    0.00    4.13
   32.76    4.15    0.00    4.15
   34.67    4.19    0.00    4.19
   37.53    4.21    0.00    4.21
   40.39    4.20    0.00    4.20
   43.25    4.27    0.00    4.27
   46.11    4.32    0.00    4.32
   48.97    4.39    0.00    4.39
   51.84    4.44    0.00    4.44
   54.70    4.50    0.00    4.50
   57.56    4.55    0.00    4.55
   60.42    4.60    0.00    4.60
   63.28    4.64    0.00    4.64
   66.14    4.68    0.00    4.68
   70.91    4.73    0.00    4.73
   75.68    4.77    0.00    4.77
   80.45    4.78    0.00    4.78
   85.22    4.79    0.00    4.79
   89.99    4.77    0.00    4.77
   94.76    4.74    0.00    4.74
   99.53    4.70    0.00    4.70
  104.30    4.65    0.00    4.65
  109.07    4.60    0.00    4.60
  113.84    4.53    0.00    4.53
   31.58    4.13    0.00    4.13
   32.84    4.15    0.00    4.15
   34.75    4.19    0.00    4.19
   37.61    4.21    0.00    4.21
   40.47    4.20    0.00    4.20
   43.34    4.27    0.00    4.27
   46.20    4.32    0.00    4.32
   49.06    4.39    0.00    4.39
   51.92    4.44    0.00    4.44
   54.78    4.50    0.00    4.50
   57.64    4.55    0.00    4.55
   60.50    4.60    0.00    4.60
   63.36    4.64    0.00    4.64
   66.22    4.68    0.00    4.68
   70.99    4.73    0.00    4.73
   75.76    4.77    0.00    4.77
   80.53    4.78    0.00    4.78
   85.30    4.79    0.00    4.79
   90.06    4.77    0.00    4.77
   94.83    4.74    0.00    4.74
   99.60    4.71    0.00    4.71
  104.37    4.65    0.00    4.65
  109.14    4.59    0.00    4.59
  113.91    4.53    0.00    4.53
   31.65    4.13    0.00    4.13
   32.92    4.15    0.00    4.15
   34.83    4.19    0.00    4.19
   37.69    4.21    0.00    4.21
   40.55    4.21    0.00    4.21
   43.41    4.27    0.00    4.27
   46.27    4.33    0.00    4.33
   49.13    4.39    0.00    4.39
   51.99    4.44    0.00    4.44
   54.85    4.51    0.00    4.51
   57.71    4.55    0.00    4.55
   60.57    4.60    0.00    4.60
   63.43    4.64    0.00    4.64
   66.29    4.68    0.00    4.68
   71.06    4.73    0.00    4.73
   75.82    4.77    0.00    4.77
   80.59    4.78    0.00    4.78
   85.36    4.79    0.00    4.79
   90.13    4.77    0.00    4.77
   94.89    4.74    0.00    4.74
   99.66    4.71    0.00    4.71
  104.43    4.65    0.00    4.65
  109.19    4.59    0.00    4.59
  113.96    4.52    0.00    4.52
   31.72    4.13    0.00    4.13
   32.94    4.15    0.00    4.15
   34.84    4.20    0.00    4.20
   37.70    4.22    0.00    4.22
   40.57    4.21    0.00    4.21
   43.43    4.27    0.00    4.27
   46.29    4.33    0.00    4.33
   49.15    4.39    0.00    4.39
   52.01    4.45    0.00    4.45
   54.87    4.51    0.00    4.51
   57.73    4.55    0.00    4.55
   60.59    4.60    0.00    4.60
   63.45    4.64    0.00    4.64
   66.31    4.68    0.00    4.68
   71.08    4.73    0.00    4.73
   75.84    4.77    0.00    4.77
   80.61    4.78    0.00    4.78
   85.38    4.79    0.00    4.79
   90.14    4.77    0.00    4.77
   94.91    4.74    0.00    4.74
   99.68    4.70    0.00    4.70
  104.44    4.65    0.00    4.65
  109.21    4.59    0.00    4.59
  113.98    4.52    0.00    4.52
   31.79    4.13    0.00    4.13
   32.95    4.15    0.00    4.15
   34.86    4.20    0.00    4.20
   37.72    4.22    0.00    4.22
   40.58    4.21    0.00    4.21
   43.44    4.27    0.00    4.27
   46.30    4.33    0.00    4.33
   49.16    4.39    0.00    4.39
   52.02    4.46    0.00    4.46
   54.88    4.51    0.00    4.51
   57.74    4.55    0.00    4.55
   60.60    4.60    0.00    4.60
   63.46    4.64    0.00    4.64
   66.32    4.69    0.00    4.69
   71.09    4.73    0.00    4.73
   75.86    4.77    0.00    4.77
   80.62    4.78    0.00    4.78
   85.39    4.79    0.00    4.79
   90.16    4.77    0.00    4.77
   94.92    4.74    0.00    4.74
   99.69    4.70    0.00    4.70
  104.46    4.64    0.00    4.64
  109.22    4.59    0.00    4.59
  113.99    4.52    0.00    4.52
   31.86    4.13    0.00    4.13
   32.95    4.16    0.00    4.16
   34.85    4.20    0.00    4.20
   37.71    4.22    0.00    4.22
   40.57    4.21    0.00    4.21
   43.44    4.27    0.00    4.27
   46.30    4.33    0.00    4.33
   49.16    4.39    0.00    4.39
   52.02    4.46    0.00    4.46
   54.88    4.51    0.00    4.51
   57.73    4.55    0.00    4.55
   60.60    4.60    0.00    4.60
   63.46    4.64    0.00    4.64
   66.32    4.69    0.00    4.69
   71.08    4.73    0.00    4.73
   75.85    4.77    0.00    4.77
   80.62    4.78    0.00    4.78
   85.38    4.79    0.00    4.79
   90.15    4.77    0.00    4.77
   94.92    4.74    0.00    4.74
   99.68    4.70    0.00    4.70
  104.45    4.64    0.00    4.64
  109.22    4.58    0.00    4.58
  113.98    4.52    0.00    4.52
   31.93    4.14    0.00    4.14
   32.89    4.16    0.00    4.16
   34.80    4.20    0.00    4.20
   37.66    4.22    0.00    4.22
   40.52    4.21    0.00    4.21
   43.38    4.27    0.00    4.27
   46.24    4.33    0.00    4.33
   49.10    4.39    0.00    4.39
   51.96    4.45    0.00    4.45
   54.82    4.51    0.00    4.51
   57.68    4.55    0.00    4.55
   60.54    4.60    0.00    4.60
   63.40    4.64    0.00    4.64
   66.27    4.69    0.00    4.69
   71.03    4.74    0.00    4.74
   75.80    4.77    0.00    4.77
   80.57    4.78    0.00    4.78
   85.34    4.79    0.00    4.79
   90.10    4.77    0.00    4.77
   94.87    4.74    0.00    4.74
   99.64    4.70    0.00    4.70
  104.41    4.64    0.00    4.64
  109.17    4.58    0.00    4.58
  113.94    4.52    0.00    4.52
   32.00    4.13    0.00    4.13
   32.97    4.16    0.00    4.16
   34.88    4.20    0.00    4.20
   37.73    4.22    0.00    4.22
   40.59    4.21    0.00    4.21
   43.45    4.27    0.00    4.27
   46.31    4.33    0.00    4.33
   49.17    4.39    0.00    4.39
   52.03    4.45    0.00    4.45
   54.90    4.51    0.00    4.51
   57.76    4.55    0.00    4.55
   60.62    4.60    0.00    4.60
   63.48    4.64    0.00    4.64
   66.33    4.69    0.00    4.69
   71.10    4.74    0.00    4.74
   75.87    4.77    0.00    4.77
   80.64    4.78    0.00    4.78
   85.40    4.79    0.00    4.79
   90.17    4.77    0.00    4.77
   94.94    4.74    0.00    4.74
   99.70    4.70    0.00    4.70
  104.47    4.64    0.00    4.64
  109.23    4.58    0.00    4.58
  114.00    4.51    0.00    4.51
   32.07    4.14    0.00    4.14
   33.05    4.16    0.00    4.16
   34.95    4.20    0.00    4.20
   37.81    4.22    0.00    4.22
   40.67    4.21    0.00    4.21
   43.53    4.28    0.00    4.28
   46.39    4.33    0.00    4.33
   49.25    4.40    0.00    4.40
   52.11    4.46    0.00    4.46
   54.97    4.51    0.00    4.51
   57.83    4.56    0.00    4.56
   60.69    4.60    0.00    4.60
   63.55    4.64    0.00    4.64
   66.41    4.69    0.00    4.69
   71.17    4.74    0.00    4.74
   75.94    4.77    0.00    4.77
   80.70    4.78    0.00    4.78
   85.47    4.79    0.00    4.79
   90.23    4.77    0.00    4.77
   95.00    4.74    0.00    4.74
   99.77    4.69    0.00    4.69
  104.53    4.64    0.00    4.64
  109.30    4.58    0.00    4.58
  114.06    4.51    0.00    4.51
   32.14    4.14    0.00    4.14
   32.14    4.16    0.00    4.16
   34.97    4.20    0.00    4.20
   37.83    4.22    0.00    4.22
   40.69    4.21    0.00    4.21
   43.54    4.28    0.00    4.28
   46.40    4.33    0.00    4.33
   49.26    4.40    0.00    4.40
   52.12    4.46    0.00    4.46
   54.98    4.51    0.00    4.51
   57.84    4.56    0.00    4.56
   60.70    4.60    0.00    4.60
   63.56    4.64    0.00    4.64
   66.42    4.69    0.00    4.69
   71.18    4.74    0.00    4.74
   75.95    4.77    0.00    4.77
   80.72    4.78    0.00    4.78
   85.48    4.79    0.00    4.79
   90.25    4.77    0.00    4.77
   95.01    4.74    0.00    4.74
   99.78    4.69    0.00    4.69
  104.54    4.64    0.00    4.64
  109.31    4.58    0.00    4.58
  114.07    4.51    0.00    4.51
   32.22    4.15    0.00    4.15
   35.00    4.20    0.00    4.20
   37.86    4.22    0.00    4.22
   40.72    4.21    0.00    4.21
   43.58    4.28    0.00    4.28
   46.44    4.33    0.00    4.33
   49.30    4.40    0.00    4.40
   52.16    4.46    0.00    4.46
   55.01    4.51    0.00    4.51
   57.87    4.56    0.00    4.56
   60.73    4.60    0.00    4.60
   63.59    4.64    0.00    4.64
   66.45    4.69    0.00    4.69
   71.22    4.74    0.00    4.74
   75.98    4.77    0.00    4.77
   80.75    4.78    0.00    4.78
   85.51    4.78    0.00    4.78
   90.28    4.76    0.00    4.76
   95.04    4.74    0.00    4.74
   99.81    4.69    0.00    4.69
  104.57    4.63    0.00    4.63
  109.33    4.57    0.00    4.57
  114.10    4.51    0.00    4.51
   32.29    4.15    0.00    4.15
   35.03    4.20    0.00    4.20
   37.89    4.22    0.00    4.22
   40.75    4.21    0.00    4.21
   43.61    4.28    0.00    4.28
   46.47    4.34    0.00    4.34
   49.33    4.40    0.00    4.40
   52.19    4.46    0.00    4.46
   55.04    4.52    0.00    4.52
   57.90    4.56    0.00    4.56
   60.76    4.60    0.00    4.60
   63.62    4.64    0.00    4.64
   66.48    4.69    0.00    4.69
   71.24    4.74    0.00    4.74
   76.01    4.77    0.00    4.77
   80.77    4.78    0.00    4.78
   85.54    4.78    0.00    4.78
   90.30    4.76    0.00    4.76
   95.07    4.73    0.00    4.73
   99.83    4.69    0.00    4.69
  104.59    4.63    0.00    4.63
  109.36    4.56    0.00    4.56
  114.12    4.50    0.00    4.50
   32.36    4.15    0.00    4.15
   35.05    4.20    0.00    4.20
   37.91    4.22    0.00    4.22
   40.77    4.21    0.00    4.21
   43.63    4.28    0.00    4.28
   46.49    4.34    0.00    4.34
   49.34    4.40    0.00    4.40
   52.20    4.46    0.00    4.46
   55.06    4.52    0.00    4.52
   57.92    4.56    0.00    4.56
   60.78    4.60    0.00    4.60
   63.64    4.64    0.00    4.64
   66.50    4.69    0.00    4.69
   71.26    4.74    0.00    4.74
   76.03    4.77    0.00    4.77
   80.79    4.78    0.00    4.78
   85.55    4.78    0.00    4.78
   90.32    4.76    0.00    4.76
   95.08    4.73    0.00    4.73
   99.85    4.69    0.00    4.69
  104.61    4.63    0.00    4.63
  109.38    4.56    0.00    4.56
  114.14    4.50    0.00    4.50
   32.43    4.15    0.00    4.15
   35.10    4.20    0.00    4.20
   37.95    4.22    0.00    4.22
   40.81    4.22    0.00    4.22
   43.67    4.28    0.00    4.28
   46.53    4.35    0.00    4.35
   49.39    4.40    0.00    4.40
   52.24    4.46    0.00    4.46
   55.10    4.52    0.00    4.52
   57.96    4.56    0.00    4.56
   60.82    4.60    0.00    4.60
   63.68    4.64    0.00    4.64
   66.54    4.69    0.00    4.69
   71.30    4.74    0.00    4.74
   76.06    4.77    0.00    4.77
   80.83    4.78    0.00    4.78
   85.59    4.78    0.00    4.78
   90.36    4.76    0.00    4.76
   95.12    4.73    0.00    4.73
   99.88    4.69    0.00    4.69
  104.65    4.63    0.00    4.63
  109.41    4.56    0.00    4.56
  114.17    4.50    0.00    4.50
   32.50    4.15    0.00    4.15
   35.16    4.20    0.00    4.20
   38.02    4.23    0.00    4.23
   40.88    4.22    0.00    4.22
   43.74    4.28    0.00    4.28
   46.60    4.35    0.00    4.35
   49.45    4.40    0.00    4.40
   52.31    4.46    0.00    4.46
   55.17    4.52    0.00    4.52
   58.03    4.56    0.00    4.56
   60.88    4.61    0.00    4.61
   63.74    4.65    0.00    4.65
   66.60    4.70    0.00    4.70
   71.36    4.74    0.00    4.74
   76.13    4.77    0.00    4.77
   80.89    4.78    0.00    4.78
   85.65    4.78    0.00    4.78
   90.41    4.76    0.00    4.76
   95.18    4.73    0.00    4.73
   99.94    4.68    0.00    4.68
  104.70    4.62    0.00    4.62
  109.47    4.56    0.00    4.56
  116.58    4.49    0.00    4.49
   32.57    4.16    0.00    4.16
   35.19    4.21    0.00    4.21
   38.04    4.23    0.00    4.23
   40.90    4.22    0.00    4.22
   43.76    4.28    0.00    4.28
   46.62    4.35    0.00    4.35
   49.47    4.40    0.00    4.40
   52.33    4.47    0.00    4.47
   55.19    4.52    0.00    4.52
   58.05    4.57    0.00    4.57
   60.90    4.61    0.00    4.61
   63.76    4.65    0.00    4.65
   66.62    4.70    0.00    4.70
   71.38    4.74    0.00    4.74
   76.14    4.77    0.00    4.77
   80.91    4.78    0.00    4.78
   85.67    4.78    0.00    4.78
   90.43    4.76    0.00    4.76
   95.19    4.73    0.00    4.73
   99.96    4.68    0.00    4.68
  104.72    4.62    0.00    4.62
  109.48    4.54    0.00    4.54
   17.80    4.05    0.00    4.05
   19.66    4.03    0.00    4.03
   21.56    4.01    0.00    4.01
   23.46    4.01    0.00    4.01
   25.36    4.02    0.00    4.02
   27.25    4.03    0.00    4.03
   29.15    4.06    0.00    4.06
   31.05    4.09    0.00    4.09
   32.94    4.13    0.00    4.13
   34.84    4.18    0.00    4.18
   36.74    4.25    0.00    4.25
   39.58    4.29    0.00    4.29
   42.43    4.35    0.00    4.35
   45.27    4.44    0.00    4.44
   48.12    4.52    0.00    4.52
   50.96    4.58    0.00    4.58
   53.81    4.63    0.00    4.63
   56.65    4.67    0.00    4.67
   59.50    4.69    0.00    4.69
   62.34    4.70    0.00    4.70
   65.19    4.69    0.00    4.69
   68.04    4.65    0.00    4.65
   72.78    4.58    0.00    4.58
   77.52    4.49    0.00    4.49
   82.26    4.38    0.00    4.38
   17.24    4.06    0.00    4.06
   19.71    4.03    0.00    4.03
   21.61    4.01    0.00    4.01
   23.50    4.01    0.00    4.01
   25.40    4.02    0.00    4.02
   27.30    4.03    0.00    4.03
   29.19    4.06    0.00    4.06
   31.09    4.09    0.00    4.09
   32.99    4.13    0.00    4.13
   34.88    4.18    0.00    4.18
   36.78    4.25    0.00    4.25
   39.62    4.29    0.00    4.29
   42.47    4.35    0.00    4.35
   45.31    4.44    0.00    4.44
   48.16    4.52    0.00    4.52
   51.01    4.58    0.00    4.58
   53.85    4.63    0.00    4.63
   56.70    4.67    0.00    4.67
   59.54    4.69    0.00    4.69
   62.39    4.70    0.00    4.70
   65.23    4.68    0.00    4.68
   68.08    4.64    0.00    4.64
   72.82    4.58    0.00    4.58
   77.56    4.48    0.00    4.48
   82.30    4.37    0.00    4.37
   16.98    4.06    0.00    4.06
   19.66    4.03    0.00    4.03
   21.56    4.02    0.00    4.02
   23.46    4.01    0.00    4.01
   25.35    4.02    0.00    4.02
   27.25    4.03    0.00    4.03
   29.15    4.06    0.00    4.06
   31.04    4.09    0.00    4.09
   32.94    4.13    0.00    4.13
   34.84    4.18    0.00    4.18
   36.73    4.25    0.00    4.25
   39.58    4.29    0.00    4.29
   42.42    4.35    0.00    4.35
   45.27    4.44    0.00    4.44
   48.12    4.52    0.00    4.52
   50.96    4.58    0.00    4.58
   53.81    4.63    0.00    4.63
   56.65    4.67    0.00    4.67
   59.50    4.69    0.00    4.69
   62.34    4.69    0.00    4.69
   65.19    4.68    0.00    4.68
   68.03    4.64    0.00    4.64
   72.78    4.57    0.00    4.57
   77.52    4.46    0.00    4.46
